"lc","li","lw","dd682","dd792","dd883"
10.4831,10.5821,12.9481,NA,NA,NA
10.4893,10.58,12.9895,0,0,0
10.5022,10.599,13.0115,0,0,0
10.524,10.6262,13.0411,0,0,0
10.5329,10.6145,13.0357,0,0,0
10.5586,10.6307,13.0518,0,0,0
10.519,10.6316,13.0839,1,0,0
10.5381,10.6132,13.112,-1,0,0
10.5422,10.6141,13.1183,0,0,0
10.5361,10.6263,13.1144,0,0,0
10.5462,10.6366,13.1009,0,0,0
10.5459,10.6313,13.0882,0,0,0
10.5552,10.6324,13.0402,0,0,0
10.5548,10.6361,13.0391,0,0,0
10.571,10.6795,13.0417,0,0,0
10.5861,10.6813,13.0261,0,0,0
10.5864,10.6801,13.0032,0,0,0
10.5802,10.6533,13.0364,0,0,0
10.6006,10.6839,13.0461,0,0,0
10.6168,10.6889,13.085,0,0,0
10.6275,10.7025,13.1107,0,0,0
10.6414,10.7212,13.1241,0,0,0
10.6629,10.7818,13.1605,0,0,0
10.6758,10.7641,13.1748,0,0,0
10.6881,10.7841,13.1612,0,0,0
10.724,10.8045,13.105,0,0,0
10.7143,10.823,13.1082,0,0,0
10.7222,10.8319,13.1059,0,0,0
10.7156,10.838,13.014,0,0,0
10.6964,10.8097,12.9301,0,0,0
10.699,10.7928,12.8427,0,0,0
10.7081,10.831,12.771,0,0,0
10.7142,10.8328,12.7281,0,0,0
10.7078,10.8527,12.7692,0,0,0
10.7073,10.8089,12.7492,0,0,0
10.6954,10.8202,12.7664,0,0,0
10.691,10.8069,12.7554,0,0,0
10.6967,10.8196,12.7605,0,0,0
10.7015,10.8046,12.7471,0,0,0
10.7083,10.8372,12.7238,0,0,0
10.7127,10.8123,12.7156,0,0,0
10.6922,10.7842,12.7555,0,0,0
10.6874,10.7713,12.7517,0,0,0
10.6989,10.7904,12.8018,0,0,0
10.7224,10.8369,12.8388,0,0,0
10.7452,10.8333,12.8438,0,0,0
10.7462,10.8635,12.854,0,0,0
10.7663,10.8884,12.8618,0,0,0
10.7633,10.8924,12.8491,0,0,0
10.7737,10.9017,12.9232,0,0,0
10.8282,10.9108,12.9022,0,1,0
10.7872,10.9166,12.8737,0,-1,0
10.8015,10.9673,12.8467,0,0,0
10.8139,10.9324,12.8647,0,0,0
10.7909,10.9344,12.8885,0,0,0
10.8029,10.9506,12.9183,0,0,0
10.7868,10.9465,12.9277,0,0,0
10.7979,10.9488,12.9505,0,0,0
10.8007,10.9294,12.9615,0,0,0
10.8008,10.9248,12.9147,0,0,0
10.7991,10.9326,12.9527,0,0,0
10.7956,10.9202,12.9641,0,0,0
10.8005,10.9373,12.978,0,0,0
10.816,10.9269,13.0299,0,0,0
10.826,10.9315,13.0604,0,0,0
10.8405,10.9399,13.1031,0,0,0
10.8482,10.9599,13.1577,0,0,0
10.8633,10.9563,13.1504,0,0,0
10.8633,10.9637,13.1805,0,0,0
10.8615,10.9703,13.2245,0,0,0
10.8732,10.9778,13.1852,0,0,0
10.8649,10.9801,13.2298,0,0,0
10.8793,10.9942,13.2849,0,0,0
10.8909,10.984,13.2999,0,0,0
10.8938,11.012,13.2904,0,0,0
10.9116,11.012,13.314,0,0,0
10.9202,11.0237,13.3606,0,0,0
10.9409,11.03,13.4574,0,0,0
10.9663,11.0624,13.4655,0,0,0
10.97,11.0556,13.4371,0,0,0
10.9808,11.0644,13.502,0,0,0
10.9878,11.0618,13.5914,0,0,0
11.0048,11.0839,13.6804,0,0,0
11.0272,11.0944,13.7131,0,0,0
11.042,11.1095,13.5633,0,0,0
11.0701,11.1116,13.5814,0,0,0
11.0751,11.1413,13.6171,0,0,0
11.0964,11.1507,13.6201,0,0,1
11.1069,11.168,13.646,0,0,1
11.1123,11.1713,13.6731,0,0,1
11.1231,11.2032,13.6884,0,0,1
11.1223,11.2009,13.7211,0,0,1
11.1303,11.2064,13.7686,0,0,1
11.1307,11.216,13.6833,0,0,1
11.1389,11.2147,13.713,0,0,1
11.1325,11.2286,13.6225,0,0,1
11.1261,11.2352,13.6957,0,0,1
11.1232,11.2189,13.7723,0,0,1
11.122,11.2276,13.7424,0,0,1
