p3,p6,hy6,hy3
9931.413,9851.647,NA,0.690603
9926.498,9831.846,0.759777,0.740466
9901.259,9789.134,0.706003,0.99726
9886.615,9771.963,0.995813,1.146849
9897.35,9788.656,1.283127,1.037151
9924.042,9828.473,1.383088,0.765397
9935.596,9860.366,1.089926,0.648219
9941.999,9868.615,0.827888,0.583397
9935.35,9863.761,0.676228,0.650712
9941.26,9873.96,0.785694,0.590877
9945.696,9870.558,0.72652,0.546
9938.304,9864.246,0.686345,0.620795
9932.889,9857.943,0.695873,0.675644
9932.644,9863.276,0.757767,0.678137
9928.955,9854.552,0.665891,0.715534
9928.955,9856.489,0.755015,0.715534
9927.972,9855.036,0.725232,0.725507
9924.287,9847.777,0.702696,0.762904
9917.416,9830.4,0.707151,0.832712
9911.535,9822.696,0.825345,0.892548
9910.065,9816.446,0.889462,0.907507
9913.25,9821.253,0.986138,0.875096
9912.515,9822.696,0.929227,0.882575
9904.192,9805.407,0.829671,0.967342
9900.77,9803.011,0.972548,1.002247
9903.703,9806.366,1.027158,0.972329
9901.992,9804.448,0.975142,0.989781
9896.373,9790.09,0.937583,1.047123
9882.718,9763.875,0.94614,1.18674
9883.205,9764.351,1.222159,1.181753
9872.259,9724.579,1.105124,1.293945
9870.072,9740.164,1.496138,1.316384
9886.615,9773.392,1.50358,1.146849
9912.515,9811.644,1.423488,0.882575
9890.028,9761.498,0.798895,1.111945
9875.661,9732.129,1.169524,1.259041
9873.717,9742.53,1.45485,1.278986
9857.458,9715.628,1.17965,1.446027
9869.101,9741.584,1.579647,1.326356
9861.336,9726.937,1.229286,1.406137
9844.394,9692.15,1.207544,1.580658
9847.294,9684.662,1.600713,1.55074
9826.787,9645.536,1.467527,1.762658
9811.644,9617.781,1.722117,1.919726
9827.991,9660.403,2.185639,1.750192
9826.787,9647.392,1.722328,1.762658
9842.944,9676.718,2.027001,1.595616
9871.772,9746.792,2.015711,1.298931
9915.7,9824.14,1.732962,0.850164
9892.468,9773.392,0.695512,1.087014
9892.712,9762.449,1.220869,1.084521
9892.224,9779.587,1.329322,1.089507
9914.475,9814.044,1.379278,0.86263
9905.66,9794.871,0.933522,0.952384
9887.834,9762.449,0.949098,1.134384
9878.823,9743.004,1.192058,1.22663
9854.552,9707.163,1.144902,1.475945
9827.751,9652.499,1.242257,1.752685
9786.029,9571.421,1.383375,2.186493
9818.128,9611.328,2.577538,1.852411
9814.284,9633.952,2.111634,1.892301
9797.981,9584.687,1.702617,2.061836
9772.677,9528.673,1.96136,2.32611
9814.044,9628.401,2.994867,1.894794
9865.702,9721.279,2.464592,1.36126
9870.558,9728.353,1.535583,1.311397
9839.563,9653.894,1.143163,1.630521
9862.306,9699.182,2.15884,1.396164
9875.661,9725.993,1.81953,1.259041
9862.063,9703.405,1.399038,1.398658
9872.016,9731.185,1.737641,1.296438
9888.81,9770.534,1.619793,1.124411
9881.744,9752.005,1.138218,1.196712
9873.717,9736.854,1.248071,1.278986
9859.882,9704.814,1.263523,1.421096
9847.777,9679.053,1.473113,1.545753
9838.116,9661.8,1.643378,1.645479
9832.569,9639.509,1.767471,1.702822
9809.964,9612.711,1.768296,1.937178
9773.153,9533.202,1.669065,2.321123
9761.736,9520.982,2.397245,2.440794
9759.361,9523.695,2.503722,2.465726
9752.954,9506.09,2.407246,2.533041
9710.688,9421.241,2.15229,2.979315
9648.32,9296.771,2.410289,3.644986
9804.688,9596.611,5.463359,1.992027
9751.294,9484.062,1.611846,2.550493
9634.415,9279.994,1.585328,3.794575
9636.961,9294.187,3.846627,3.767151
9627.015,9306.694,3.581036,3.874356
9605.804,9203.761,3.213916,4.103726
9734.491,9444.757,5.766452,2.727507
9685.13,9342.244,2.545042,3.251069
9710.218,9412.398,3.938814,2.984301
9788.656,9516.013,3.99747,2.159068
9792.241,9570.507,2.902776,2.121671
9800.854,9598.907,2.406849,2.031918
9782.688,9560.014,1.914596,2.221397
9767.203,9520.53,2.167251,2.383452
9776.488,9544.999,2.688485,2.286219
9769.345,9530.031,2.3504,2.361014
9754.852,9468.837,2.359072,2.513096
9732.838,9460.351,2.788104,2.744959
9788.179,9564.117,3.465285,2.164055
9784.836,9556.37,2.30778,2.198959
9821.253,9637.192,2.771793,1.82
9819.811,9631.176,1.894931,1.834959
9819.811,9635.804,1.958585,1.834959
9823.178,9646.928,1.94456,1.800055
9840.771,9676.718,2.009373,1.618055
9870.314,9740.164,2.000644,1.31389
9864.489,9727.409,1.276418,1.373726
9862.791,9725.521,1.391756,1.391178
9857.458,9690.277,1.356601,1.446027
9842.461,9681.39,1.570477,1.600603
9866.916,9690.746,1.91632,1.348794
9858.912,9709.513,1.735326,1.431068
9835.221,9655.288,1.294689,1.675397
9816.206,9621.473,1.66663,1.872356
9802.531,9597.989,1.881818,2.014466
9781.256,9556.825,1.909427,2.236356
9782.449,9576.905,2.360868,2.223891
9800.615,9606.265,2.335932,2.034411
9808.045,9626.091,2.100507,1.957123
