obs,unem,inf,inf_1,unem_1,cinf,cunem
1948,3.8,8.1,NA,NA,NA,NA
1949,5.9,-1.2,8.1,3.8,-9.3000000,2.1000000
1950,5.3,1.3,-1.2,5.9,2.5000000,-0.5999999
1951,3.3,7.9,1.3,5.3,6.6000000,-2.0000000
1952,3.0,1.9,7.9,3.3,-6.0000000,-0.3000000
1953,2.9,0.8,1.9,3.0,-1.1000000,-0.0999999
1954,5.5,0.7,0.8,2.9,-0.1000000,2.6000000
1955,4.4,-0.4,0.7,5.5,-1.1000000,-1.1000000
1956,4.1,1.5,-0.4,4.4,1.9000000,-0.3000002
1957,4.3,3.3,1.5,4.1,1.8000000,0.2000003
1958,6.8,2.8,3.3,4.3,-0.5000000,2.5000000
1959,5.5,0.7,2.8,6.8,-2.1000000,-1.3000000
1960,5.5,1.7,0.7,5.5,1.0000000,0.0000000
1961,6.7,1.0,1.7,5.5,-0.7000000,1.2000000
1962,5.5,1.0,1.0,6.7,0.0000000,-1.2000000
1963,5.7,1.3,1.0,5.5,0.3000000,0.1999998
1964,5.2,1.3,1.3,5.7,0.0000000,-0.5000000
1965,4.5,1.6,1.3,5.2,0.3000001,-0.6999998
1966,3.8,2.9,1.6,4.5,1.3000000,-0.7000000
1967,3.8,3.1,2.9,3.8,0.1999998,0.0000000
1968,3.6,4.2,3.1,3.8,1.1000000,-0.2000000
1969,3.5,5.5,4.2,3.6,1.3000000,-0.0999999
1970,4.9,5.7,5.5,3.5,0.1999998,1.4000000
1971,5.9,4.4,5.7,4.9,-1.3000000,1.0000000
1972,5.6,3.2,4.4,5.9,-1.2000000,-0.3000002
1973,4.9,6.2,3.2,5.6,3.0000000,-0.6999998
1974,5.6,11.0,6.2,4.9,4.8000000,0.6999998
1975,8.5,9.1,11.0,5.6,-1.9000000,2.9000000
1976,7.7,5.8,9.1,8.5,-3.3000000,-0.8000002
1977,7.1,6.5,5.8,7.7,0.6999998,-0.5999999
1978,6.1,7.6,6.5,7.1,1.1000000,-1.0000000
1979,5.8,11.3,7.6,6.1,3.7000000,-0.2999997
1980,7.1,13.5,11.3,5.8,2.2000000,1.3000000
1981,7.6,10.3,13.5,7.1,-3.2000000,0.5000000
1982,9.7,6.2,10.3,7.6,-4.1000000,2.1000000
1983,9.6,3.2,6.2,9.7,-3.0000000,-0.0999994
1984,7.5,4.3,3.2,9.6,1.1000000,-2.1000000
1985,7.2,3.6,4.3,7.5,-0.7000003,-0.3000002
1986,7.0,1.9,3.6,7.2,-1.7000000,-0.1999998
1987,6.2,3.6,1.9,7.0,1.7000000,-0.8000002
1988,5.5,4.1,3.6,6.2,0.5000000,-0.6999998
1989,5.3,4.8,4.1,5.5,0.7000003,-0.1999998
1990,5.6,5.4,4.8,5.3,0.5999999,0.2999997
1991,6.8,4.2,5.4,5.6,-1.2000000,1.2000000
1992,7.5,3.0,4.2,6.8,-1.2000000,0.6999998
1993,6.9,3.0,3.0,7.5,0.0000000,-0.5999999
1994,6.1,2.6,3.0,6.9,-0.4000001,-0.8000002
1995,5.6,2.8,2.6,6.1,0.2000000,-0.5000000
1996,5.4,3.0,2.8,5.6,0.2000000,-0.1999998
1997,4.9,2.3,3.0,5.4,-0.7000000,-0.5000000
1998,4.5,1.6,2.3,4.9,-0.6999999,-0.4000001
1999,4.2,2.2,1.6,4.5,0.6000000,-0.3000002
2000,4.0,3.4,2.2,4.2,1.2000000,-0.1999998
2001,4.8,2.8,3.4,4.0,-0.6000001,0.8000002
2002,5.8,1.6,2.8,4.8,-1.2000000,1.0000000
2003,6.0,2.3,1.6,5.8,0.6999999,0.1999998
