year,fcode,employ,sales,avgsal,scrap,rework,tothrs,union,grant,d89,d88,totrain,hrsemp,lscrap,lemploy,lsales,lrework,lhrsemp,lscrap_1,grant_1,clscrap,cgrant,clemploy,clsales,lavgsal,clavgsal,cgrant_1,chrsemp,clhrsemp
1987,410032,100,47000000,35000,NA,NA,12,0,0,0,0,100,12.000000,NA,4.605170,17.66566,NA,2.564949,NA,0,NA,0,NA,NA,10.463100,NA,NA,NA,NA
1988,410032,131,43000000,37000,NA,NA,8,0,0,0,1,50,3.053435,NA,4.875197,17.57671,NA,1.399565,NA,0,NA,0,0.270027,-0.088949,10.518670,0.055570,0,-8.946565,-1.165385
1989,410032,123,49000000,39000,NA,NA,8,0,0,1,0,50,3.252033,NA,4.812184,17.70733,NA,1.447397,NA,0,NA,0,-0.063013,0.130621,10.571320,0.052644,0,0.198597,0.047832
1987,410440,12,1560000,10500,NA,NA,12,0,0,0,0,12,12.000000,NA,2.484907,14.26020,NA,2.564949,NA,0,NA,0,NA,NA,9.259130,NA,NA,NA,NA
1988,410440,13,1970000,11000,NA,NA,12,0,0,0,1,13,12.000000,NA,2.564949,14.49354,NA,2.564949,NA,0,NA,0,0.080043,0.233347,9.305651,0.046520,0,0.000000,0.000000
1989,410440,14,2350000,11500,NA,NA,10,0,0,1,0,14,10.000000,NA,2.639057,14.66993,NA,2.397895,NA,0,NA,0,0.074108,0.176382,9.350102,0.044452,0,-2.000000,-0.167054
1987,410495,20,750000,17680,NA,NA,50,0,0,0,0,15,37.500000,NA,2.995732,13.52783,NA,3.650658,NA,0,NA,0,NA,NA,9.780190,NA,NA,NA,NA
1988,410495,25,110000,18720,NA,NA,50,0,0,0,1,10,20.000000,NA,3.218876,11.60824,NA,3.044523,NA,0,NA,0,0.223144,-1.919593,9.837348,0.057159,0,-17.500000,-0.606136
1989,410495,24,950000,19760,NA,NA,50,0,0,1,0,20,41.666670,NA,3.178054,13.76422,NA,3.753418,NA,0,NA,0,-0.040822,2.155982,9.891415,0.054067,0,21.666670,0.708895
1987,410500,200,23700000,13729,NA,NA,0,0,0,0,0,0,0.000000,NA,5.298317,16.98271,NA,0.000000,NA,0,NA,0,NA,NA,9.527266,NA,NA,NA,NA
