open,inf,pcinc,land,oil,good,lpcinc,lland,lopen,linf,opendec,linfdec
31.4,9.9,1998,919595,0,0,7.599902,13.731690,3.446808,2.292535,0.314,-2.312635
9.4,117.0,4342,1072067,0,1,8.376090,13.885100,2.240710,4.762174,0.094,0.157004
16.7,9.5,8349,2966150,0,1,9.029897,14.902780,2.815409,2.251292,0.167,-2.353878
35.6,5.0,8230,32375,0,1,9.015541,10.385140,3.572345,1.609438,0.356,-2.995732
91.0,4.8,9185,240,1,0,9.125327,5.480639,4.510859,1.568616,0.910,-3.036554
17.0,12.9,540,55598,0,0,6.291569,10.925900,2.833213,2.557227,0.170,-2.047943
72.8,10.7,4454,166,0,0,8.401558,5.111988,4.287716,2.370244,0.728,-2.234926
58.8,6.0,9228,11781,0,1,9.129997,9.374244,4.074142,1.791759,0.588,-2.813411
38.9,10.3,534,43483,0,0,6.280396,10.680130,3.660994,2.332144,0.389,-2.273026
23.2,206.7,1529,424162,0,1,7.332369,12.957870,3.144152,5.331268,0.232,0.726098
66.4,10.1,1477,231800,0,1,7.297768,12.353630,4.195697,2.312536,0.664,-2.292635
7.4,74.1,3356,3286470,0,1,8.118505,15.005320,2.001480,4.305416,0.074,-0.299755
40.7,8.8,358,105870,0,0,5.880533,11.569970,3.706228,2.174752,0.407,-2.430418
8.9,5.5,483,261220,0,0,6.180017,12.473120,2.186051,1.704748,0.089,-2.900422
19.5,8.3,333,10747,0,0,5.808143,9.282382,2.970414,2.116256,0.195,-2.488915
24.3,10.2,875,183569,0,0,6.774224,12.120350,3.190476,2.322388,0.243,-2.282783
24.5,7.1,11332,3851809,0,1,9.335386,15.164050,3.198673,1.960095,0.245,-2.645075
13.9,10.7,487,241313,0,0,6.188264,12.393850,2.631889,2.370244,0.139,-2.234926
23.1,59.4,4271,292132,0,1,8.359603,12.584960,3.139833,4.084294,0.231,-0.520876
13.7,21.6,2552,439735,0,1,7.844633,12.993930,2.617396,3.072693,0.137,-1.532477
55.0,10.9,981,132046,0,0,6.888573,11.790910,4.007333,2.388763,0.550,-2.216408
37.8,20.6,3031,19652,0,1,8.016648,9.885935,3.632309,3.025291,0.378,-1.579879
60.0,8.9,4282,3572,0,1,8.362176,8.180881,4.094345,2.186051,0.600,-2.419119
33.2,8.1,9598,16631,0,1,9.169310,9.719024,3.502550,2.091864,0.332,-2.513306
21.4,12.1,1868,18704,0,1,7.532624,9.836493,3.063391,2.493206,0.214,-2.111965
25.0,20.4,2607,109484,0,1,7.865955,11.603530,3.218876,3.015535,0.250,-1.589635
32.9,8.9,995,386900,0,0,6.902743,12.865920,3.493473,2.186051,0.329,-2.419119
33.4,13.1,1410,8260,0,1,7.251345,9.019180,3.508556,2.572612,0.334,-2.032558
18.1,4.4,325,472432,0,0,5.783825,13.065650,2.895912,1.481605,0.181,-3.123566
49.1,9.5,3005,7078,0,1,8.008033,8.864747,3.893859,2.251292,0.491,-2.353878
28.6,9.4,8393,130119,0,1,9.035153,11.776210,3.353407,2.240710,0.286,-2.364460
21.1,8.9,9688,211208,0,1,9.178643,12.260600,3.049273,2.186051,0.211,-2.419119
34.3,13.3,2973,103346,1,0,7.997327,11.545840,3.535145,2.587764,0.343,-2.017406
56.5,14.9,556,4093,0,0,6.320768,8.317034,4.034241,2.701361,0.565,-1.903809
26.6,3.8,9795,96010,0,1,9.189628,11.472210,3.280911,1.335001,0.266,-3.270169
13.1,38.2,421,92100,0,0,6.042633,11.430630,2.572612,3.642836,0.131,-0.962335
27.6,16.2,4383,50961,0,1,8.385489,10.838820,3.317816,2.785011,0.276,-1.820159
21.9,11.7,1952,42042,0,1,7.576610,10.646420,3.086487,2.459589,0.219,-2.145581
72.1,11.8,1623,83000,0,0,7.392032,11.326600,4.278054,2.468100,0.721,-2.137071
34.4,6.0,696,10714,0,0,6.545350,9.279306,3.538057,1.791759,0.344,-2.813411
35.6,7.1,1075,43277,0,1,6.980076,10.675380,3.572345,1.960095,0.356,-2.645075
81.7,8.3,7268,398,0,0,8.891236,5.986452,4.403054,2.116256,0.817,-2.488915
39.3,35.1,9285,39709,0,1,9.136155,10.589330,3.671225,3.558201,0.393,-1.046969
8.1,7.8,614,1229737,0,1,6.419995,14.022310,2.091864,2.054124,0.081,-2.551046
21.8,14.5,1063,735268,0,1,6.968851,13.507990,3.081910,2.674149,0.218,-1.931022
18.3,16.2,2944,636293,1,0,7.987525,13.363410,2.906901,2.785011,0.183,-1.820159
56.6,11.1,4929,26600,0,1,8.502892,10.188670,4.036009,2.406945,0.566,-2.198225
