age,black,brthord,educ,exper,feduc,hours,iq,kww,lwage,married,meduc,sibs,south,tenure,urban,wage
31,0,2,12,11,8,40,93,35,6.645091,1,8,1,0,2,1,769
37,0,NA,18,11,14,50,119,41,6.694562,1,14,1,0,16,1,808
33,0,2,14,11,14,40,108,46,6.7153835296630863,1,14,1,0,9,1,825
32,0,3,12,13,12,40,96,32,6.476972579956055,1,12,4,0,7,1,650
34,0,6,11,14,11,40,74,27,6.331502,1,6,10,0,5,1,562
35,1,2,16,14,NA,40,116,43,7.244227,1,8,1,0,2,1,1400
30,0,2,10,13,8,40,91,24,6.39693,0,8,1,0,0,1,600
38,0,3,18,8,NA,40,114,50,6.985642,1,8,2,0,14,1,1081
36,0,3,15,13,5,45,111,37,7.05099,1,14,2,0,1,0,1154
36,0,1,12,16,11,40,95,44,6.907755,1,12,1,0,16,1,1000
38,0,1,18,8,14,43,132,44,6.8351845741271975,1,13,1,0,13,0,930
33,0,2,14,9,NA,38,102,45,6.82546,1,16,1,0,11,0,921
30,0,NA,15,4,12,45,125,40,6.802395,0,12,2,0,3,0,900
28,0,1,16,7,10,38,119,24,7.183871,1,10,3,0,2,1,1318
34,0,1,16,9,12,40,118,47,7.491087,1,12,1,0,9,1,1792
35,0,2,10,17,8,50,105,37,6.864848,1,6,1,0,2,1,958
36,0,3,15,6,10,45,109,39,7.21524,1,12,3,0,9,1,1360
38,0,3,11,19,8,40,72,36,6.745236,1,10,2,0,10,1,850
29,0,1,14,4,NA,44,105,29,6.7214255332946775,1,12,3,0,7,1,830
31,0,2,12,13,NA,44,101,34,6.154858,1,8,3,0,7,1,471
31,0,1,14,9,NA,40,123,37,7.1507015228271488,1,12,0,0,1,1,1275
36,0,1,16,10,12,50,113,49,7.38709,1,12,2,0,4,1,1615
38,0,1,12,14,10,65,95,36,6.77193546295166,1,10,5,0,3,1,873
38,0,1,16,17,12,45,145,50,7.667158,1,12,2,0,8,1,2137
32,0,1,16,12,11,38,114,35,6.959399,1,11,0,0,7,1,1053
29,0,1,16,8,16,60,124,32,7.379008,1,16,3,0,9,1,1602
35,0,1,13,16,8,40,93,40,7.080027,1,12,2,0,5,1,1188
35,0,1,18,11,8,40,115,39,6.684612,1,8,0,1,1,1,800
34,0,1,17,9,12,48,125,41,7.256297,1,13,3,0,4,1,1417
36,0,1,18,8,16,40,128,35,6.453625,0,16,2,0,13,1,635
34,0,1,12,17,NA,40,103,40,6.907755,1,8,1,0,2,1,1000
35,0,1,14,15,12,50,98,41,7.261225,1,12,1,0,4,1,1424
32,0,2,13,12,12,75,108,41,7.889084,1,12,1,1,2,1,2668
38,0,1,18,8,18,75,129,40,6.50129,1,18,2,0,12,0,666
32,0,1,17,8,14,40,132,42,7.483807,1,17,1,0,9,1,1779
31,0,3,13,9,NA,40,92,24,6.661855,1,8,3,0,10,1,782
28,1,NA,14,7,8,35,108,39,7.360104,1,12,1,0,5,1,1572
31,0,1,13,11,12,40,106,35,7.149917,1,15,0,0,12,1,1274
29,0,2,16,9,12,35,105,37,6.570883,1,13,1,0,2,1,714
36,0,1,18,11,12,40,123,46,6.985642,1,12,1,0,7,0,1081
38,0,1,12,21,7,40,108,48,6.539586,1,8,3,0,11,1,692
33,0,NA,17,10,8,38,122,47,7.183871,1,12,1,0,9,1,1318
38,0,3,12,16,NA,45,109,44,7.12206,1,12,3,0,4,1,1239
38,0,3,13,12,9,27,100,40,6.934397,1,10,3,0,15,1,1027
34,0,2,18,12,15,55,125,50,7.466227531433105,1,14,1,0,12,1,1748
35,0,2,14,9,NA,40,122,41,6.888573,0,12,3,0,15,1,981
30,0,1,17,7,12,40,105,34,6.6463904380798338,1,12,3,0,11,1,770
33,0,NA,16,11,12,50,94,37,7.05099,1,12,1,0,5,1,1154
34,0,2,12,16,NA,40,102,36,7.0518555641174313,1,12,1,0,5,1,1155
38,0,2,13,14,10,60,109,47,6.694562,1,12,2,0,12,1,808
38,0,1,12,22,12,40,105,45,7.003066,1,12,1,0,14,1,1100
37,0,1,18,10,12,40,134,46,7.05099,1,12,2,1,10,1,1154
29,0,1,12,13,9,40,108,32,7.466799,0,12,7,0,9,1,1749
30,0,1,16,11,11,50,104,36,6.907755,1,12,1,0,8,1,1000
29,0,3,12,11,NA,40,112,35,6.135565,1,12,8,0,1,1,462
32,0,1,18,8,8,55,120,49,6.645091,0,11,1,0,12,1,769
31,0,2,16,9,16,50,124,40,6.774224,0,17,2,0,3,0,875
29,0,2,12,12,10,40,103,34,7.226209,1,12,4,0,7,1,1375
30,0,1,17,1,14,45,115,45,7.280697,1,12,3,0,7,1,1452
35,0,2,12,17,8,40,96,33,6.684612,1,6,1,0,12,1,800
36,0,1,17,10,12,55,123,48,7.466227531433105,1,12,1,0,7,1,1748
29,0,4,12,12,8,40,98,34,7.0483865737915038,1,12,3,0,12,1,1151
35,0,1,12,18,8,50,96,34,6.733402,1,12,2,0,13,1,840
38,0,1,12,17,NA,45,89,47,6.8855094909667975,1,12,0,0,2,1,978
37,0,NA,12,15,7,40,109,43,6.870053,0,NA,5,0,15,0,963
28,0,NA,12,10,11,42,93,20,6.428105,0,9,8,0,10,1,619
33,0,3,12,12,9,60,82,32,6.09131,1,12,2,0,0,1,442
38,0,4,15,12,NA,40,120,45,6.39693,1,12,3,0,1,0,600
32,0,2,12,15,NA,38,122,38,7.219642,1,12,1,0,15,1,1366
33,0,2,18,8,18,48,117,48,7.404279,1,12,2,0,2,1,1643
36,0,2,16,8,8,40,109,44,7.282761,1,8,1,0,13,1,1455
38,0,NA,18,12,16,40,114,55,7.745003,1,12,2,0,7,1,2310
31,0,1,16,10,16,45,126,40,7.427739,1,12,1,0,11,1,1682
33,0,1,12,10,11,40,82,45,7.118826,1,11,1,0,2,1,1235
32,0,1,16,11,9,45,119,45,6.7511014938354488,1,12,3,0,4,1,855
35,0,2,16,6,6,42,104,37,6.97728157043457,1,12,2,0,8,1,1072
35,0,4,15,8,11,40,115,49,6.946976,1,NA,3,0,15,1,1040
36,0,2,12,17,12,50,97,45,6.907755,1,12,1,0,15,1,1000
31,0,NA,15,8,12,40,105,27,6.514713,1,14,3,0,2,0,675
30,0,2,12,14,7,37,100,32,7.003066,1,7,1,0,1,1,1100
31,0,1,12,5,10,50,114,41,6.903747,1,12,2,0,14,1,996
36,0,6,10,17,NA,40,73,28,6.59578,1,NA,5,0,5,1,732
37,0,3,11,15,8,40,96,48,7.090077,1,8,4,0,3,1,1200
29,0,1,15,9,16,30,113,30,7.434848,0,12,3,0,8,1,1694
36,0,5,10,15,10,55,106,38,6.5308775901794438,1,14,4,1,3,1,686
32,0,2,13,9,NA,40,104,37,6.6253924369812013,1,8,1,0,5,1,754
33,0,1,10,14,12,35,80,39,6.753438,1,NA,2,0,15,1,857
30,0,2,13,4,8,50,104,30,6.723833,1,12,1,0,2,1,832
30,0,1,13,8,16,44,122,36,6.361302,1,16,4,0,1,0,579
34,0,NA,12,13,13,61,96,38,6.510258,1,12,2,0,3,1,672
36,0,1,15,12,16,40,95,51,7.824046,1,16,3,0,9,1,2500
31,0,1,12,5,17,45,105,24,6.981006,0,16,1,0,8,1,1076
37,1,3,12,16,8,40,94,18,6.620073,1,8,7,0,3,1,750
33,0,1,17,8,14,30,91,41,7.0783414840698238,1,12,1,0,9,1,1186
31,0,4,16,9,14,48,96,37,6.725034,1,12,4,0,7,1,833
30,1,4,12,14,9,40,69,37,6.476972579956055,1,10,3,0,11,1,650
38,0,1,12,5,12,46,110,37,7.130899,1,NA,1,0,16,0,1250
31,0,1,15,12,12,48,111,44,7.022868,1,9,3,0,9,1,1122
31,0,1,16,1,12,40,110,35,6.76273,1,9,3,0,11,1,865
29,0,3,16,10,12,40,97,37,6.694562,1,9,3,0,7,1,808
35,0,2,18,6,8,60,125,44,7.16935,0,8,1,0,12,1,1299
36,0,4,12,6,10,40,91,39,6.805723,1,9,5,0,12,1,903
37,0,3,12,17,10,40,86,28,6.802395,1,8,5,0,15,1,900
35,0,1,12,18,8,40,110,32,6.437752,1,9,4,0,0,1,625
36,0,4,14,16,NA,40,92,47,7.36897,1,12,4,1,1,1,1586
