"id","numyrs","year","choice","wage","educ","expwc","expbc","expser","manuf","black","lwage","enroll","employ","attrit","exper","expersq","status"
1,9,87,2,NA,11,0,0,0,0,1,NA,0,0,0,0,0,"home"
2,9,87,4,15841.41015625,12,0,3,2,0,1,9.67038249969482,0,1,0,5,25,"work"
4,11,87,5,6093.60009765625,9,0,0,0,0,1,8.71499443054199,0,1,0,0,0,"work"
5,9,87,3,11017.23046875,9,2,1,4,0,1,9.30721569061279,0,1,0,7,49,"work"
6,9,87,2,NA,8,0,4,0,0,1,NA,0,0,0,4,16,"home"
7,11,87,4,16574.58984375,10,0,3,0,1,1,9.71562576293945,0,1,0,3,9,"work"
8,10,87,5,32800.140625,12,0,3,3,0,1,10.3981876373291,0,1,0,6,36,"work"
9,9,87,2,NA,12,0,2,2,0,1,NA,0,0,0,4,16,"home"
10,11,87,2,NA,11,0,1,2,0,1,NA,0,0,0,3,9,"home"
11,9,87,5,8287.2900390625,11,0,0,4,0,1,9.0224781036377,0,1,0,4,16,"work"
12,11,87,4,37673.0703125,14,0,4,0,1,1,10.5367012023926,0,1,0,4,16,"work"
14,10,87,5,8445.73046875,11,0,0,1,0,1,9.04141616821289,0,1,0,1,1,"work"
15,9,87,2,NA,11,0,0,0,0,1,NA,0,0,0,0,0,"home"
16,9,87,5,18598.8203125,15,0,0,1,0,1,9.83085346221924,0,1,0,1,1,"work"
18,10,87,1,NA,15,2,0,0,0,1,NA,1,0,0,2,4,"school"
19,10,87,4,14234.650390625,11,0,4,0,1,1,9.56343460083008,0,1,0,4,16,"work"
20,9,87,4,13467.98046875,16,0,1,0,0,1,9.50806999206543,0,1,0,1,1,"work"
21,8,87,2,NA,12,0,0,1,0,1,NA,0,0,0,1,1,"home"
22,10,87,3,45735.140625,16,3,0,0,1,1,10.7306222915649,0,1,0,3,9,"work"
23,9,87,1,NA,15,1,0,1,0,1,NA,1,0,0,2,4,"school"
24,11,87,3,13591.16015625,10,1,1,3,0,1,9.51717472076416,0,1,0,5,25,"work"
25,9,87,4,14130.26953125,11,0,0,0,0,1,9.55607414245605,0,1,0,0,0,"work"
26,8,87,5,10120.25,12,0,0,3,0,1,9.22229385375977,0,1,0,3,9,"work"
27,11,87,4,16895.41015625,12,0,5,0,0,1,9.73479747772217,0,1,0,5,25,"work"
28,11,87,3,12354.2900390625,12,3,0,2,0,1,9.4217586517334,0,1,0,5,25,"work"
29,8,87,4,10470.490234375,14,0,2,0,1,1,9.25631618499756,0,1,0,2,4,"work"
32,8,87,2,NA,12,0,0,0,0,1,NA,0,0,0,0,0,"home"
35,9,87,3,NA,11,0,0,0,0,1,NA,0,1,0,0,0,"work"
36,10,87,5,12967.1796875,9,0,0,2,0,1,9.47017669677734,0,1,0,2,4,"work"
37,9,87,4,5847.58984375,11,0,0,1,0,1,8.67378520965576,0,1,0,1,1,"work"
39,8,87,5,11652.5,12,3,1,1,0,1,9.36327648162842,0,1,0,5,25,"work"
40,10,87,3,15833.6103515625,12,0,5,0,0,1,9.66989040374756,0,1,0,5,25,"work"
41,8,87,4,10724.73046875,9,0,3,2,0,1,9.28030776977539,0,1,0,5,25,"work"
42,9,87,2,NA,10,0,0,0,0,1,NA,0,0,0,0,0,"home"
43,10,87,2,NA,13,0,2,0,0,1,NA,0,0,0,2,4,"home"
45,11,87,3,18700.0390625,15,4,0,0,0,1,9.83628082275391,0,1,0,4,16,"work"
46,9,87,2,NA,9,0,0,1,0,1,NA,0,0,0,1,1,"home"
47,10,87,2,NA,12,0,3,0,0,1,NA,0,0,0,3,9,"home"
48,10,87,4,16618.240234375,11,0,2,2,0,1,9.7182559967041,0,1,0,4,16,"work"
49,8,87,3,21199.880859375,13,2,2,0,0,1,9.96175098419189,0,1,0,4,16,"work"
51,9,87,4,14917.1298828125,12,2,1,2,0,1,9.61026573181152,0,1,0,5,25,"work"
52,10,87,4,16818.33984375,14,0,4,0,0,1,9.73022556304932,0,1,0,4,16,"work"
53,9,87,4,5468.6201171875,12,0,2,0,0,1,8.60678195953369,0,1,0,2,4,"work"
54,10,87,5,11662.169921875,13,0,0,2,0,1,9.36410522460938,0,1,0,2,4,"work"
56,9,87,4,25310.380859375,12,1,3,2,0,1,10.138970375061,0,1,0,6,36,"work"
57,9,87,5,10253.669921875,11,0,1,0,0,1,9.23539066314697,0,1,0,1,1,"work"
58,8,87,2,NA,15,2,0,0,0,1,NA,0,0,0,2,4,"home"
59,10,87,4,16574.58984375,10,0,3,4,1,1,9.71562576293945,0,1,0,7,49,"work"
62,11,87,2,NA,11,0,2,0,0,1,NA,0,0,0,2,4,"home"
64,11,87,5,20462.80078125,16,0,0,2,0,1,9.92636394500732,0,1,0,2,4,"work"
65,9,87,3,25310.380859375,17,1,0,0,1,1,10.138970375061,0,1,0,1,1,"work"
67,8,87,3,17062.080078125,12,2,2,1,0,1,9.74461364746094,0,1,0,5,25,"work"
68,11,87,2,NA,10,0,0,0,0,1,NA,0,0,0,0,0,"home"
70,9,87,4,24510.900390625,13,1,3,0,0,1,10.1068735122681,0,1,0,4,16,"work"
71,10,87,4,9749.759765625,11,0,4,0,1,1,9.18499755859375,0,1,0,4,16,"work"
72,11,87,5,12779.5,13,0,0,5,0,1,9.45559787750244,0,1,0,5,25,"work"
73,10,87,2,NA,11,0,0,0,0,1,NA,0,0,0,0,0,"home"
76,11,87,3,17577.720703125,16,0,1,0,0,1,9.77438735961914,0,1,0,1,1,"work"
77,8,87,4,13721.9599609375,11,0,2,2,0,1,9.52675247192383,0,1,0,4,16,"work"
78,10,87,4,11563.8798828125,12,0,4,0,0,1,9.35564136505127,0,1,0,4,16,"work"
79,9,87,4,16477.08984375,13,0,4,1,0,1,9.70972633361816,0,1,0,5,25,"work"
80,8,87,2,NA,11,0,2,0,0,1,NA,0,0,0,2,4,"home"
81,9,87,4,7319.56005859375,11,0,3,0,1,1,8.89830589294434,0,1,0,3,9,"work"
83,8,87,2,NA,11,0,1,2,0,1,NA,0,0,0,3,9,"home"
84,11,87,4,15139.4296875,12,0,5,0,1,1,9.6250581741333,0,1,0,5,25,"work"
85,8,87,5,19012.029296875,13,0,0,1,0,1,9.85282707214355,0,1,0,1,1,"work"
86,11,87,2,NA,12,0,3,1,0,1,NA,0,0,0,4,16,"home"
88,11,87,4,12292.58984375,12,0,6,0,0,1,9.41675186157227,0,1,0,6,36,"work"
89,9,87,4,9749.759765625,10,0,5,0,1,1,9.18499755859375,0,1,0,5,25,"work"
91,10,87,3,22668.189453125,10,3,5,0,0,1,10.0287179946899,0,1,0,8,64,"work"
93,8,87,4,11736.26953125,12,1,2,0,0,1,9.37043952941895,0,1,0,3,9,"work"
94,11,87,3,12908.6796875,8,0,6,0,0,1,9.46565532684326,0,1,0,6,36,"work"
95,11,87,4,29045.880859375,12,0,5,0,0,1,10.27663230896,0,1,0,5,25,"work"
96,8,87,4,15599.6103515625,12,0,4,0,0,1,9.65500164031982,0,1,0,4,16,"work"
97,10,87,4,15860.419921875,14,4,0,0,0,1,9.67158222198486,0,1,0,4,16,"work"
98,10,87,4,42655.19921875,13,0,3,0,0,1,10.6609048843384,0,1,0,3,9,"work"
99,10,87,4,12382.1904296875,11,0,2,0,0,1,9.4240140914917,0,1,0,2,4,"work"
100,11,87,4,20942.48046875,13,4,3,0,0,1,9.94953536987305,0,1,0,7,49,"work"
101,10,87,3,11680.919921875,14,1,1,0,0,1,9.36571216583252,0,1,0,2,4,"work"
102,11,87,3,29167.919921875,15,4,0,0,0,1,10.2808246612549,0,1,0,4,16,"work"
103,9,87,2,NA,12,5,0,1,0,1,NA,0,0,0,6,36,"home"
104,11,87,2,NA,9,0,0,0,0,1,NA,0,0,0,0,0,"home"
106,8,87,2,NA,12,0,1,1,0,1,NA,0,0,0,2,4,"home"
107,8,87,3,NA,12,2,1,0,0,1,NA,0,1,0,3,9,"work"
108,10,87,2,NA,16,0,0,0,0,1,NA,0,0,0,0,0,"home"
109,11,87,3,15521.6201171875,17,2,0,0,0,1,9.64998912811279,0,1,0,2,4,"work"
110,10,87,4,9903.91015625,12,0,4,0,1,1,9.20068454742432,0,1,0,4,16,"work"
111,11,87,3,10082.76953125,11,0,4,1,0,1,9.21858310699463,0,1,0,5,25,"work"
112,11,87,2,NA,7,0,2,0,0,1,NA,0,0,0,2,4,"home"
